id,name,age,address,cell phone,gender,height,weight,bmi
65,임소솔,28,제주 성동구 123-45,010-3143-8577,여성,156.500000,95.599998,39.032753
66,임민호,51,서울 수성구 123-45,010-5134-5868,여성,150.399994,52.000000,22.988344
67,강아호,79,수원 동구 123-45,010-4925-3988,여성,152.199997,41.900002,18.087757
68,최현민,25,대구 강남구 123-45,010-3378-6654,여성,173.500000,82.699997,27.473028
69,오도람,53,안양 동구 123-45,010-9432-5766,남성,179.000000,80.199997,25.030430
70,박채아,61,대구 진해구 123-45,010-5589-5629,여성,156.699997,63.599998,25.901157
71,정진린,58,전주 강남구 123-45,010-9692-2394,여성,161.399994,86.500000,33.205425
72,김하서,41,광주 일산동구 123-45,010-4511-1761,남성,176.500000,96.500000,30.976898
73,박소연,79,용인 동구 123-45,010-6866-4880,여성,177.699997,73.400002,23.244555
74,조태호,27,고양 강서구 123-45,010-1700-3228,여성,159.800003,96.400002,37.750565
75,윤민우,40,평택 성북구 123-45,010-8666-3718,남성,155.399994,67.300003,27.868467
76,임시재,48,부산 강서구 123-45,010-8736-2556,남성,151.600006,90.699997,39.464703
77,한유린,32,부산 성동구 123-45,010-4841-4180,남성,165.399994,57.299999,20.945158
78,이하아,41,대전 성북구 123-45,010-2942-9078,남성,177.500000,86.800003,27.550091
79,서채영,33,창원 일산동구 123-45,010-2644-2509,여성,151.300003,97.500000,42.591873
80,임태영,23,남양주 달서구 123-45,010-4463-6105,남성,175.100006,76.900002,25.081530
81,조유안,63,고양 성북구 123-45,010-6908-9204,남성,163.000000,79.000000,29.733902
82,한민율,57,부산 성동구 123-45,010-2695-8311,여성,168.000000,76.300003,27.033733
83,장태우,47,성남 장유동 123-45,010-9562-8707,여성,166.100006,81.400002,29.504288
84,강시율,44,용인 일산동구 123-45,010-4365-6550,남성,151.500000,54.299999,23.657812
85,임태솔,41,용인 송파구 123-45,010-7979-5382,여성,153.600006,68.199997,28.906925
86,신민윤,31,인천 분당구 123-45,010-6448-4257,남성,175.600006,90.400002,29.316992
87,한시훈,38,천안 중구 123-45,010-4016-9471,남성,173.199997,50.099998,16.700979
88,임유율,61,평택 남구 123-45,010-2694-3675,여성,179.399994,53.900002,16.747267
89,장유안,37,화성 강남구 123-45,010-5341-2627,남성,177.699997,98.000000,31.034964
90,이예호,61,울산 신제주 123-45,010-5256-5383,남성,169.699997,83.500000,28.994978
91,한예우,46,안산 남구 123-45,010-3141-3267,남성,178.000000,51.299999,16.191137
92,박예우,37,수원 송파구 123-45,010-7896-5501,남성,176.800003,77.199997,24.697487
93,서하진,70,서울 기흥구 123-45,010-4477-1074,남성,152.500000,62.599998,26.917496
94,최수재,34,대전 유성구 123-45,010-9349-9919,남성,178.199997,64.900002,20.437574
95,신시재,76,부산 중구 123-45,010-4938-8876,남성,159.699997,96.099998,37.680229
96,서지현,73,청주 유성구 123-45,010-8745-1875,여성,177.000000,81.800003,26.109995
97,최건율,52,청주 덕양구 123-45,010-2814-3197,여성,151.699997,49.000000,21.292416
98,박선람,60,김해 동구 123-45,010-9226-4911,남성,152.500000,97.599998,41.967213
99,장민연,75,용인 장유동 123-45,010-3654-8470,여성,155.100006,62.500000,25.981031
100,김도연,38,고양 중구 123-45,010-1256-4239,남성,157.000000,57.700001,23.408655
101,오지우,60,천안 강남구 123-45,010-1668-8500,남성,162.699997,71.400002,26.972620
102,한유람,51,남양주 성동구 123-45,010-7338-4415,여성,175.500000,79.900002,25.941349
103,조하빈,44,전주 흥덕구 123-45,010-5432-1107,여성,179.800003,82.400002,25.488710
104,오아윤,40,수원 동구 123-45,010-4532-7623,여성,168.100006,76.599998,27.107738
105,서진진,56,평택 강남구 123-45,010-9181-3832,여성,168.100006,73.800003,26.116856
106,이예우,40,수원 송파구 123-45,010-7277-3048,남성,162.199997,92.900002,35.311325
107,김나람,28,천안 장유동 123-45,010-4620-2309,남성,178.300003,49.599998,15.601954
108,임채서,74,천안 덕진구 123-45,010-2651-9021,남성,153.100006,45.099998,19.240934
109,서하아,63,김해 흥덕구 123-45,010-3752-8545,여성,151.899994,47.799999,20.716309
110,박하슬,27,용인 유성구 123-45,010-3882-9876,여성,153.500000,73.800003,31.321289
111,조현호,56,창원 신제주 123-45,010-4810-9401,여성,165.300003,47.299999,17.310732
112,한다린,24,화성 성북구 123-45,010-2901-2836,여성,154.399994,74.599998,31.292789
113,신건민,43,수원 북구 123-45,010-2605-7539,여성,162.500000,77.500000,29.349112
114,장은솔,61,인천 일산동구 123-45,010-3589-7286,남성,170.100006,47.900002,16.554911
115,김지슬,37,부산 신제주 123-45,010-9675-9198,남성,176.100006,51.799999,16.703636
116,임소연,70,제주 흥덕구 123-45,010-6242-4476,여성,178.399994,54.200001,17.029802
117,김시율,52,김해 서구 123-45,010-6302-2854,남성,163.899994,96.800003,36.034416
118,조나율,45,평택 해운대구 123-45,010-5562-3947,여성,155.500000,44.400002,18.362095
119,강예빈,26,세종 신제주 123-45,010-8381-8469,여성,160.000000,40.900002,15.976562
120,한예아,49,대구 중구 123-45,010-4824-2688,남성,151.699997,95.199997,41.368122
121,최진현,25,울산 신제주 123-45,010-9533-8812,남성,163.800003,80.800003,30.115049
122,최수슬,44,대구 신제주 123-45,010-4553-3434,여성,172.300003,61.900002,20.850672
123,이지진,40,창원 동구 123-45,010-7770-2026,남성,171.699997,40.400002,13.703793
124,오건우,55,대전 덕진구 123-45,010-2545-3886,여성,168.899994,91.900002,32.214859
125,오선민,76,남양주 달서구 123-45,010-3390-1192,남성,171.399994,79.300003,26.993027
126,오하린,39,평택 기흥구 123-45,010-6052-3168,여성,178.399994,62.099998,19.512005
127,김다진,56,평택 남구 123-45,010-4812-3756,여성,167.100006,60.500000,21.667183
128,윤선린,78,광주 서구 123-45,010-6379-5127,여성,160.000000,81.699997,31.914059
129,강지솔,47,청주 성북구 123-45,010-1830-1740,여성,174.500000,97.900002,32.150803
130,박지윤,56,광주 달서구 123-45,010-8255-4927,여성,160.500000,70.300003,27.290110
131,임다서,66,성남 유성구 123-45,010-6444-6313,여성,170.699997,58.900002,20.213814
132,신태율,30,고양 진해구 123-45,010-8001-9160,여성,177.199997,61.500000,19.586088
133,오지서,76,포항 강서구 123-45,010-8981-3915,남성,156.199997,94.000000,38.527058
134,정은우,68,대전 일산동구 123-45,010-8350-8057,남성,167.300003,48.799999,17.435240
135,김소훈,76,수원 유성구 123-45,010-3644-6788,남성,179.899994,90.400002,27.932266
136,정수재,52,부산 덕진구 123-45,010-3370-6561,남성,168.500000,65.599998,23.104898
137,임소훈,69,고양 기흥구 123-45,010-2952-6288,여성,173.399994,43.000000,14.301128
138,박채연,75,포항 중구 123-45,010-9133-6767,여성,155.500000,56.700001,23.448891
139,장현재,49,평택 동구 123-45,010-4826-9754,남성,157.800003,93.699997,37.629250
140,강서빈,55,평택 강서구 123-45,010-5407-1236,남성,176.800003,51.799999,16.571630
141,오현유,49,부산 덕진구 123-45,010-8554-3294,여성,162.899994,87.900002,33.124302
142,강아현,41,안양 일산동구 123-45,010-7251-3983,여성,151.300003,66.699997,29.137209
143,오나율,43,포항 강남구 123-45,010-9758-2395,여성,176.399994,43.000000,13.818831
144,조나유,45,대구 진해구 123-45,010-7194-4560,남성,175.899994,53.900002,17.420361
145,최시재,53,울산 덕진구 123-45,010-6196-7976,여성,174.399994,41.400002,13.611545
146,이나안,76,안양 송파구 123-45,010-9279-1254,남성,150.399994,49.299999,21.794720
147,서태아,23,세종 송파구 123-45,010-1181-2573,여성,161.699997,94.500000,36.141968
148,서태영,79,부산 남구 123-45,010-6837-6550,남성,168.199997,91.500000,32.342171
149,이지아,79,남양주 장유동 123-45,010-6690-1867,남성,153.100006,75.900002,32.381084
150,박현솔,38,평택 해운대구 123-45,010-4999-1218,여성,171.000000,75.400002,25.785711
151,임아진,60,수원 덕양구 123-45,010-4247-8175,남성,172.199997,74.300003,25.056622
152,정지호,76,성남 강남구 123-45,010-2264-1204,여성,150.699997,91.099998,40.113621
153,박지린,72,대구 강서구 123-45,010-2297-5978,여성,162.199997,44.200001,16.800438
154,조건재,41,성남 일산동구 123-45,010-3598-6348,남성,150.100006,98.599998,43.763847
155,조유훈,54,안산 수성구 123-45,010-8718-3956,남성,172.199997,66.599998,22.459906
156,장도린,51,전주 강남구 123-45,010-4798-8865,남성,174.300003,52.799999,17.379574
157,서수호,44,광주 신제주 123-45,010-6974-9033,남성,159.500000,55.299999,21.737206
158,강도영,72,울산 분당구 123-45,010-8421-8691,여성,162.800003,49.000000,18.487888
159,임다진,36,세종 성북구 123-45,010-4840-5605,남성,176.000000,85.099998,27.472881
160,윤예영,45,안산 강서구 123-45,010-9993-8209,남성,151.100006,86.599998,37.930531
161,서아우,71,울산 북구 123-45,010-6713-8526,남성,175.800003,80.800003,26.144096
162,장수우,44,부산 진해구 123-45,010-1829-2133,여성,159.699997,71.599998,28.073927
163,강민훈,64,남양주 서북구 123-45,010-6488-2587,여성,152.800003,74.099998,31.737410
164,박채우,22,안산 신제주 123-45,010-1580-4090,남성,159.000000,49.599998,19.619476
165,이서연,76,성남 해운대구 123-45,010-4522-7132,여성,172.899994,54.299999,18.163931
166,임도빈,63,안산 북구 123-45,010-7771-7002,여성,172.500000,66.500000,22.348246
167,이도안,74,대전 신제주 123-45,010-4896-5612,남성,168.300003,45.400002,16.028305
168,이시진,51,세종 북구 123-45,010-3641-3766,여성,156.000000,87.199997,35.831692
169,신소솔,49,수원 남구 123-45,010-8643-1737,여성,155.199997,94.199997,39.108170
170,서예재,48,전주 송파구 123-45,010-7132-9833,여성,160.500000,88.199997,34.238796
171,정선윤,58,수원 분당구 123-45,010-6986-9286,남성,177.500000,84.800003,26.915297
172,오서진,60,울산 강서구 123-45,010-4604-4977,여성,154.699997,44.599998,18.636066
173,조진빈,53,세종 강서구 123-45,010-9631-3314,남성,152.500000,58.799999,25.283525
174,강건민,56,김해 강서구 123-45,010-5122-2368,여성,150.800003,83.000000,36.498531
175,한서재,58,서울 강남구 123-45,010-5320-1497,여성,158.100006,71.800003,28.725042
176,최나율,30,부산 수성구 123-45,010-1031-8861,여성,163.899994,96.000000,35.736610
177,최시린,29,평택 분당구 123-45,010-2129-7908,여성,151.000000,51.200001,22.455156
178,윤시윤,67,안양 성동구 123-45,010-5231-3702,남성,176.300003,50.200001,16.150988
179,김건린,28,청주 달서구 123-45,010-4408-1801,남성,175.600006,85.199997,27.630613
180,장건진,52,부산 서북구 123-45,010-6726-7925,여성,169.699997,45.599998,15.834382
181,서채서,75,화성 중구 123-45,010-6031-2421,남성,155.699997,92.699997,38.238651
182,강다훈,62,인천 일산동구 123-45,010-2801-7828,남성,165.600006,84.099998,30.667284
183,박하유,40,제주 서북구 123-45,010-8588-3467,남성,175.899994,91.900002,29.701876
184,서소유,25,청주 북구 123-45,010-6277-8704,남성,155.699997,47.799999,19.717449
185,한나율,62,성남 남구 123-45,010-7409-5300,여성,157.500000,58.700001,23.663389
186,윤다영,68,화성 달서구 123-45,010-1958-3996,남성,176.600006,57.700001,18.500967
187,조소호,37,용인 서구 123-45,010-2906-7567,여성,152.199997,80.500000,34.750942
188,서진민,36,청주 팔달구 123-45,010-5248-1239,여성,179.899994,81.500000,25.182297
189,정아훈,63,제주 팔달구 123-45,010-5805-4054,여성,165.100006,65.800003,24.139694
190,신선빈,62,김해 신제주 123-45,010-3273-9616,여성,174.000000,40.599998,13.409961
191,신다현,57,김해 성동구 123-45,010-1183-5519,남성,166.399994,61.900002,22.355484
192,이진현,71,서울 동구 123-45,010-4539-3072,남성,166.500000,78.900002,28.460896
193,윤선우,76,고양 진해구 123-45,010-9374-4322,여성,161.300003,82.800003,31.824499
194,윤서빈,52,서울 동구 123-45,010-6964-8590,여성,178.899994,93.699997,29.276485
195,서소서,29,안산 남구 123-45,010-1177-6622,여성,150.199997,87.800003,38.918373
196,장현현,58,제주 팔달구 123-45,010-2642-3124,남성,150.699997,42.200001,18.581722
197,한예서,65,포항 수성구 123-45,010-8221-5566,여성,152.100006,66.500000,28.745060
198,장채유,33,전주 진해구 123-45,010-5768-1555,여성,179.600006,80.900002,25.080481
199,신선안,38,남양주 강서구 123-45,010-6573-1859,남성,174.800003,81.300003,26.607721
200,임채호,21,성남 서구 123-45,010-9794-1470,여성,167.300003,67.500000,24.116367
201,한하람,20,포항 북구 123-45,010-5109-4347,남성,176.800003,49.000000,15.675867
202,박태훈,59,울산 해운대구 123-45,010-3778-5542,남성,164.600006,89.699997,33.107986
203,강선훈,65,수원 해운대구 123-45,010-4006-3159,여성,163.399994,65.000000,24.344973
204,임민율,67,성남 덕양구 123-45,010-9289-1069,여성,172.300003,58.700001,19.772770
205,서아린,24,청주 강남구 123-45,010-4910-3397,여성,176.899994,44.000000,14.060380
206,김아솔,67,고양 남구 123-45,010-3520-7855,남성,166.500000,80.400002,29.001976
207,신현호,22,김해 흥덕구 123-45,010-1753-8821,남성,157.300003,48.000000,19.399197
208,강진린,71,안산 동구 123-45,010-3395-8524,여성,178.399994,58.599998,18.412294
209,조다린,34,안산 신제주 123-45,010-7083-1015,여성,160.000000,79.199997,30.937496
210,한도람,30,고양 성북구 123-45,010-7243-4736,남성,155.899994,68.099998,28.019148
211,임유솔,68,김해 성동구 123-45,010-5349-6105,남성,168.600006,84.800003,29.831884
212,강선연,35,포항 남구 123-45,010-4166-6336,여성,174.500000,77.400002,25.418510
213,한유빈,51,광주 일산동구 123-45,010-4829-2422,여성,166.300003,76.400002,27.625420
214,윤지현,56,전주 진해구 123-45,010-4495-8698,여성,164.899994,60.200001,22.138857
215,조다영,34,남양주 강서구 123-45,010-7502-4099,여성,152.600006,56.299999,24.176828
216,강지호,49,울산 분당구 123-45,010-2264-8635,여성,157.899994,49.200001,19.733351
217,오서람,33,화성 해운대구 123-45,010-3108-2707,남성,155.000000,54.799999,22.809574
218,임서호,69,세종 북구 123-45,010-7608-5331,여성,177.899994,60.000000,18.958300
219,강하솔,57,서울 장유동 123-45,010-8060-9860,여성,167.100006,61.299999,21.953691
220,최유윤,63,대전 유성구 123-45,010-1167-2927,여성,162.899994,61.099998,23.024969
221,강도호,24,천안 분당구 123-45,010-7699-9310,여성,166.500000,85.099998,30.697365
222,장수유,49,청주 남구 123-45,010-8678-6535,남성,168.500000,55.200001,19.441927
223,윤건아,41,제주 강서구 123-45,010-4120-6930,남성,162.300003,47.099998,17.880672
224,김채안,46,광주 강서구 123-45,010-3800-6404,여성,164.199997,95.500000,35.420696
225,장서영,23,포항 송파구 123-45,010-1188-5417,남성,170.399994,49.400002,17.013269
226,윤채유,60,평택 강서구 123-45,010-1548-2141,남성,174.000000,53.900002,17.802881
227,윤도현,42,대전 동구 123-45,010-6175-7536,여성,166.199997,88.099998,31.894361
228,최예호,60,천안 수성구 123-45,010-1818-8174,여성,155.300003,92.699997,38.435879
229,정도람,39,청주 해운대구 123-45,010-7620-5770,남성,173.800003,86.099998,28.503853
230,신수훈,26,전주 분당구 123-45,010-4229-6252,남성,173.399994,61.099998,20.320904
231,윤소빈,68,제주 동구 123-45,010-7250-4289,여성,178.899994,75.400002,23.558666
232,오다솔,40,평택 분당구 123-45,010-6877-2873,남성,164.399994,41.700001,15.428811
233,윤시유,23,화성 동구 123-45,010-6672-1501,여성,172.000000,67.199997,22.714979
234,서시연,76,화성 서북구 123-45,010-6751-6966,남성,167.199997,97.300003,34.804897
235,임채현,61,대구 해운대구 123-45,010-6366-1118,여성,180.000000,73.599998,22.716051
236,신소빈,51,화성 흥덕구 123-45,010-4263-4295,여성,179.199997,68.099998,21.206604
237,정도민,21,고양 서구 123-45,010-5632-7328,여성,166.500000,91.500000,33.005981
238,신현율,40,안양 유성구 123-45,010-2332-4732,여성,179.100006,40.599998,12.657119
239,신예율,49,성남 중구 123-45,010-6128-4653,여성,171.000000,55.500000,18.980198
240,윤민호,33,포항 성북구 123-45,010-1639-5604,남성,157.199997,60.500000,24.482191
241,박진솔,53,인천 강서구 123-45,010-8363-6352,여성,173.800003,41.000000,13.573264
242,한도솔,77,대전 진해구 123-45,010-2829-2698,여성,153.000000,97.300003,41.565212
243,오지슬,54,남양주 동구 123-45,010-5035-9964,여성,162.000000,59.900002,22.824266
244,김나람,27,안산 기흥구 123-45,010-3397-4639,여성,162.800003,43.799999,16.525908
245,정나호,24,포항 기흥구 123-45,010-2132-5531,여성,153.300003,98.000000,41.700546
246,이시영,58,대구 송파구 123-45,010-1169-9444,여성,151.100006,49.099998,21.505648
247,신다윤,70,대구 송파구 123-45,010-1205-3766,남성,165.899994,91.500000,33.245155
248,서소안,79,고양 신제주 123-45,010-5152-2717,남성,154.399994,50.200001,21.057615
249,신예슬,51,화성 동구 123-45,010-1260-6575,여성,163.300003,63.700001,23.887299
250,박지재,27,남양주 강서구 123-45,010-1630-6313,여성,171.899994,56.900002,19.255754
251,한예아,71,안산 강남구 123-45,010-1806-5628,남성,174.800003,50.900002,16.658463
252,임예서,46,부산 일산동구 123-45,010-7346-7505,남성,153.699997,90.699997,38.393665
253,정진솔,28,전주 중구 123-45,010-9320-5386,여성,150.100006,52.000000,23.080324
254,신채람,41,전주 수성구 123-45,010-4502-6664,남성,154.899994,40.599998,16.920891
255,신시연,45,평택 장유동 123-45,010-4587-2982,여성,155.199997,55.400002,22.999924
256,신다민,49,세종 달서구 123-45,010-7928-3094,여성,155.800003,67.300003,27.725546
257,한다현,39,제주 일산동구 123-45,010-7156-2706,여성,177.000000,80.900002,25.822721
258,장유빈,72,전주 동구 123-45,010-4646-4169,여성,174.500000,60.400002,19.835634
259,신소서,69,대구 송파구 123-45,010-2115-7707,남성,158.199997,56.900002,22.735228
260,신은서,62,청주 흥덕구 123-45,010-2189-5040,여성,174.300003,81.199997,26.727676
261,조채민,65,용인 서구 123-45,010-4272-4592,여성,163.199997,91.000000,34.166546
262,강다진,74,청주 서구 123-45,010-7906-3021,여성,173.199997,71.000000,23.668055
263,오시현,36,광주 덕양구 123-45,010-8784-1231,여성,161.399994,69.599998,26.717892
264,김지유,22,화성 북구 123-45,010-3001-3144,여성,163.199997,96.400002,36.194012
265,김현빈,42,남양주 수성구 123-45,010-9810-4568,남성,155.800003,77.199997,31.804041
266,최다율,54,화성 흥덕구 123-45,010-5836-1256,남성,160.500000,97.900002,38.004292
267,장태현,70,청주 장유동 123-45,010-2440-4236,남성,156.300003,92.099998,37.700024
268,서현연,20,성남 분당구 123-45,010-2237-8255,여성,180.000000,56.500000,17.438272
269,오민슬,65,광주 강서구 123-45,010-6117-7795,남성,167.699997,62.599998,22.259132
270,임소우,41,용인 수성구 123-45,010-6397-4446,여성,173.399994,63.400002,21.085850
271,서하훈,61,광주 덕양구 123-45,010-9405-4691,남성,158.899994,67.900002,26.891932
272,임태율,40,포항 송파구 123-45,010-6178-3125,남성,152.199997,59.799999,25.814985
273,조나호,49,고양 기흥구 123-45,010-4969-3263,남성,168.100006,75.900002,26.860018
274,임시솔,68,세종 서북구 123-45,010-9836-2781,여성,162.600006,88.199997,33.360111
275,최도빈,64,성남 강서구 123-45,010-2234-2420,여성,178.000000,42.500000,13.413712
276,오다영,53,광주 일산동구 123-45,010-3106-7579,여성,173.899994,54.500000,18.021767
277,강도민,77,세종 덕진구 123-45,010-7763-1783,남성,169.699997,73.199997,25.418350
278,서수율,42,제주 일산동구 123-45,010-9399-6842,여성,176.500000,93.699997,30.078085
279,최하영,61,천안 성북구 123-45,010-7263-8499,여성,178.199997,71.099998,22.390007
280,강도윤,67,천안 성북구 123-45,010-7238-9102,남성,158.300003,86.099998,34.359062
281,장채훈,44,대구 덕진구 123-45,010-6727-4959,여성,159.899994,91.400002,35.747799
282,박도솔,43,화성 유성구 123-45,010-8815-3982,여성,167.600006,70.800003,25.204912
283,김유슬,33,청주 유성구 123-45,010-3112-6149,여성,173.500000,88.099998,29.266914
284,장유호,20,평택 달서구 123-45,010-6721-2133,남성,155.600006,64.699997,26.722988
285,서하슬,22,대구 일산동구 123-45,010-9107-3538,남성,174.300003,81.900002,26.958090
286,한다빈,70,포항 덕진구 123-45,010-7632-7682,남성,176.699997,68.099998,21.810921
287,정유빈,62,고양 북구 123-45,010-2568-2387,여성,167.699997,56.599998,20.125669
288,최시유,68,김해 덕양구 123-45,010-7372-2069,남성,169.199997,68.699997,23.996950
289,강아재,46,부산 동구 123-45,010-9278-3910,여성,150.100006,80.599998,35.774502
290,이은아,51,청주 덕진구 123-45,010-5192-6905,여성,171.000000,52.099998,17.817446
291,장시현,79,용인 유성구 123-45,010-3364-7302,여성,174.899994,70.599998,23.079432
292,신진솔,35,전주 서북구 123-45,010-9587-5875,남성,172.500000,98.400002,33.068684
293,박진람,24,평택 서북구 123-45,010-4041-3247,여성,160.199997,83.400002,32.496830
294,임하율,73,울산 중구 123-45,010-5271-6022,남성,164.500000,44.099998,16.296967
295,한도빈,66,안산 팔달구 123-45,010-5222-3491,남성,173.199997,66.400002,22.134632
296,윤하진,63,제주 서북구 123-45,010-1647-9258,남성,155.899994,92.400002,38.017170
297,조나람,68,광주 송파구 123-45,010-4700-1363,남성,154.699997,76.400002,31.923668
298,윤도아,58,포항 덕진구 123-45,010-4991-7574,남성,162.399994,60.700001,23.015303
299,최유율,56,부산 강서구 123-45,010-1414-3071,여성,172.399994,41.799999,14.063770
300,이소민,67,대전 흥덕구 123-45,010-3908-5902,여성,176.399994,66.900002,21.499531
301,조예람,48,제주 중구 123-45,010-5693-2549,여성,161.100006,80.599998,31.055885
302,신진민,27,대전 신제주 123-45,010-9349-8911,남성,165.000000,69.000000,25.344355
303,임예아,24,제주 분당구 123-45,010-7664-9270,여성,150.800003,48.700001,21.415403
304,윤시연,54,김해 진해구 123-45,010-4797-4384,남성,153.000000,66.300003,28.322443
305,한은영,27,남양주 흥덕구 123-45,010-5061-4773,여성,169.399994,57.299999,19.967691
306,조나훈,46,수원 서구 123-45,010-3056-2953,남성,167.100006,62.500000,22.383453
